Market;Clase de coste;Período/Año;Brand family;Artículo;Production Center;Unidad Base UoM;Qty in Base UoM;GROSS SALES -TRADE;EXCISE TAXES;OTHER SVC;COS-PURC. CONS. AFF;COS - SVC CONV. COST;Moneda;Nº documento;EU AGRREMENT - SEIZED PROD COSTS (BELOW;Documento anulado;Posic.docum.anulada;Nº documento refer.;Fecha de factura;Clase de factura;Canal distribución;Cliente
CO04;;003.2026;TEREA;ME003390.06;5J;TH;0,800;102,47;29,23;0,00;17,56;0,00;USD;965339914;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VEEV;MA001237.01;RD;TH;0,003;22,97;0,00;0,00;8,08;0,00;USD;965339915;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VEEV;MA001232.02;RD;TH;0,006;45,94;0,00;0,00;16,15;0,00;USD;965339916;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VNU;MA001798.01;RD;TH;0,005;29,45;0,00;0,00;9,32;0,00;USD;965339917;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VNU;MA001794.01;RD;TH;0,005;29,45;0,00;0,00;9,32;0,00;USD;965339918;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VNU;MA001795.01;RD;TH;0,001;5,89;0,00;0,00;1,86;0,00;USD;965339919;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VNU;MA001796.01;RD;TH;0,003;17,67;0,00;0,00;5,59;0,00;USD;965339920;0,00;;;4062701693;2/3/26;ZF2;11;789945
CO04;;003.2026;VEEV;MA001233.02;RD;TH;0,002;15,31;0,00;0,00;5,38;0,00;USD;965339928;0,00;;;4062701694;2/3/26;ZF2;11;1127464
CO04;;003.2026;VEEV;MA001237.01;RD;TH;0,001;7,66;0,00;0,00;2,69;0,00;USD;965339929;0,00;;;4062701694;2/3/26;ZF2;11;1127464
CO04;;003.2026;TEREA;ME007515.03;5J;TH;0,200;27,76;7,47;0,00;4,39;0,00;USD;965339930;0,00;;;4062701694;2/3/26;ZF2;11;1127464
CO04;;003.2026;VNU;MA001798.01;RD;TH;0,002;11,78;0,00;0,00;3,73;0,00;USD;965339931;0,00;;;4062701694;2/3/26;ZF2;11;1127464
CO04;;003.2026;VNU;MA001795.01;RD;TH;0,001;5,89;0,00;0,00;1,86;0,00;USD;965339932;0,00;;;4062701694;2/3/26;ZF2;11;1127464
CO04;;003.2026;VEEV;MA001232.02;RD;TH;0,001;7,66;0,00;0,00;2,69;0,00;USD;965339937;0,00;;;4062701696;2/3/26;ZF2;11;1127621
